	Province/State	Country/Region	Lat	Long	3/10/20	3/11/20	3/12/20	3/13/20	3/14/20	3/15/20	3/16/20	3/17/20	3/18/20	3/19/20	3/20/20	3/21/20	3/22/20	3/23/20	3/24/20	3/25/20	3/26/20	3/27/20	3/28/20	3/29/20	3/30/20	3/31/20	4/01/20	4/02/20	4/03/20	4/04/20	4/05/20	4/06/20	4/07/20	4/08/20	4/09/20	4/10/20	4/11/20	4/12/20	4/13/20	4/14/20	4/15/20	4/16/20	4/17/20	4/18/20	4/19/20	4/20/20	4/21/20	4/22/20	4/23/20
28	Missouri	US	37.27029221	-92.46914488	1	1	1	2	4	5	6	11	18	30	51	71	84	183	250	346	511	657	826	902	1038	1342	1595	1835	1839	2277	2303	2689	3065	3123	3339	3798	3992	4151	4392	4597	4638	5005	5187	5382	5544	5690	5842	6039	6254
29	Oregon	US	45.23330449	-123.3086963	15	19	24	30	32	35	38	65	66	85	111	109	156	186	202	256	305	404	466	535	590	672	717	805	877	877	1041	1041	1103	1148	1277	1278	1323	1475	1531	1578	1605	1672	1715	1772	1836	1882	1926	1981	2044
30	Nebraska	US	40.87272618	-97.59710186	3	5	10	13	14	17	18	21	24	29	37	38	51	51	66	71	74	82	94	106	143	169	206	241	273	315	356	408	437	507	554	620	682	774	797	877	881	931	1042	1225	1446	1615	1652	1775	2155
31	United States Virgin Islands	US			0	0	0	0	0	0	0	0	2	2	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	Virginia	US	37.24374789	-76.54412815	7	9	17	30	40	44	48	65	75	97	120	154	214	248	284	387	456	597	727	870	1005	1222	1449	1665	1966	2355	2588	2812	3269	3579	3933	4388	4947	5133	5598	6028	6305	6681	7260	7795	8265	8690	9306	9917	10625
33	Georgia	US	31.55162306	-83.85090513	17	23	30	41	65	98	120	145	196	277	407	493	596	747	994	1207	1477	1936	2297	2571	2721	3818	4499	5185	5647	5959	6436	7085	8493	9539	10187	11069	11730	12019	12850	14053	14435	15082	16544	16996	17614	18632	19083	20366	21002
34	Mississippi	US	32.77890365	-90.39656148	0	0	1	1	6	10	13	21	34	49	79	139	206	248	319	374	479	571	650	745	831	917	1051	1151	1329	1420	1595	1687	1855	1936	2184	2387	2549	2685	2844	2976	3238	3495	3653	3822	4115	4343	4533	4701	4952
35	American Samoa	US	-14.270999999999999	-170.132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	Maryland	US	38.21274277	-75.33200012	8	9	12	18	26	32	38	57	85	106	148	191	241	287	345	421	579	770	990	1229	1398	1642	1955	2295	2715	3071	3550	3954	4268	5405	6047	6797	7488	7989	8674	9170	9721	10465	11238	11905	12386	13102	13541	14077	14989
37	Nevada	US	39.44157041	-114.89996599999999	4	7	14	17	21	24	44	55	54	94	113	159	188	241	274	317	410	526	616	905	997	1088	1248	1425	1471	1696	1809	1907	2052	2187	2375	2632	2600	2724	2876	3008	3080	3077	3382	3475	3570	3671	3774	3909	4013
38	Kansas	US	39.11727348	-94.76378225	1	1	1	4	7	7	10	17	17	33	43	55	63	82	98	131	169	202	262	323	364	425	475	541	611	677	729	824	883	1012	1074	1075	1220	1288	1328	1372	1433	1535	1648	1736	1812	1946	2055	2219	2608
39	Northern Mariana Islands	US	15.0979	145.6739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	5	7	7	7	7	6	9	9	9	9	9	9	9	11	11	11	12	12	12	12	12	12
40	Indiana	US	41.13863784	-85.50791236	6	11	13	13	16	20	24	28	37	58	84	124	198	263	356	463	628	954	1202	1481	1751	2109	2499	2960	3335	3837	4284	4813	5337	5740	6106	6607	7105	7585	8009	8140	8524	9065	9632	10096	10649	11111	11462	11772	12333
41	Rhode Island	US	41.45961631	-71.61435303	3	5	5	14	20	20	21	23	33	44	54	66	83	106	124	132	165	203	237	291	404	480	556	633	697	789	897	1055	1199	1415	1684	1684	2293	2602	2602	3171	3171	3442	4059	4354	4556	4935	5329	5660	6067
42	Texas	US	28.86617238	-99.76050829	13	21	27	43	57	72	85	109	170	255	389	576	636	749	943	1214	1542	1911	2425	2755	3102	3755	4289	4992	5634	6451	7073	7893	8765	9588	10998	11867	12757	13394	13970	14664	15532	16462	17398	18228	18770	19244	20041	20765	22046
43	Recovered	US			0	0	0	0	0	0	0	0	0	0	0	0	0	0	-348	-361	-681	-869	-1072	-2665	-5644	-7024	-8474	-9001	-9707	-14652	-17448	-19581	-21763	-23559	-25410	-28790	-31270	-32988	-43482	-47763	-52096	-54703	-58545	-64840	-70337	-72329	-75204	-77366	-80203
44	Alaska	US	65.50815459	-151.39073869999999	0	0	0	1	0	1	1	3	6	9	12	15	20	30	34	40	55	57	83	100	111	116	129	140	154	166	179	184	207	219	228	239	249	264	269	276	284	291	300	305	310	312	320	326	328
